endTime,msPlayed,id
2019-04-23 07:20:00+00:00,236521,5ZahQIsfOhgRoLS2UpUN7J
2019-04-23 07:24:00+00:00,266493,3cGCvS7Pt3tH5kmm2mhGai
2019-04-23 07:27:00+00:00,182003,3FyPWhqWNRDMa1qUaBBziB
2019-04-23 07:31:00+00:00,203733,2jaoP56WJEz5mhfwJy6ZXR
2019-04-23 07:34:00+00:00,235445,6j0GRbrqZpOt89JrbOSi0a
2019-04-23 07:38:00+00:00,234652,6ie2Bw3xLj2JcGowOlcMhb
2019-04-23 07:42:00+00:00,243891,5n7GKZoAe5aOJTFB4ZZjWB
2019-04-23 07:46:00+00:00,197436,2P91MQbaiQOfbiz9VqhqKQ
2019-04-23 07:50:00+00:00,1080,1eQBEelI2NCy7AUTerX0KS
2019-04-23 07:50:00+00:00,14424,1j3s6SE0wUgJfBULiHfgCv
2019-04-23 07:50:00+00:00,900,1p7IP0JMy5fuOdozeoDmnh
2019-04-23 07:50:00+00:00,254556,24FFOpCA6bc5YoU2F3TKqS
2019-04-23 07:50:00+00:00,2090,289IywiZiyrXAoTd7R5UMe
2019-04-23 07:50:00+00:00,820,3X3mfRMRaPJRiIMDMQtSkd
2019-04-23 07:50:00+00:00,4110,4tnrhrQRz7monMGClCtkit
2019-04-23 07:50:00+00:00,1020,6Q6PUsRgFVjKNEw9Q9NoK6
2019-04-23 07:54:00+00:00,238367,42VQzGCl4eX5lfn6pgVYH8
2019-04-23 07:57:00+00:00,164776,4hlRkByeBvuvxLbU37qjc6
2019-04-23 08:02:00+00:00,8595,1ODY49po0ITbdqqnp8pXs1
2019-04-24 02:53:00+00:00,242742,1p7IP0JMy5fuOdozeoDmnh
2019-04-24 02:54:00+00:00,73164,6Q6PUsRgFVjKNEw9Q9NoK6
2019-04-24 02:57:00+00:00,151718,289IywiZiyrXAoTd7R5UMe
2019-04-24 02:57:00+00:00,5454,4lzezjVUnL8AU506mCOdhT
2019-04-24 03:00:00+00:00,2193,1vLF6H3BbDGvGMjTUOVew0
2019-04-24 03:00:00+00:00,200086,42VQzGCl4eX5lfn6pgVYH8
2019-04-24 03:04:00+00:00,201777,6NNthW6avpfVJYb6tAPm8C
2019-04-24 03:05:00+00:00,70812,6v6M86Yf6P5xWN7OjHETzh
2019-04-24 06:01:00+00:00,22709,6v6M86Yf6P5xWN7OjHETzh
2019-04-24 06:02:00+00:00,20026,5ZH0Clyfb8ynYUyYjGTSZK
2019-04-24 06:03:00+00:00,107939,7EtRjxGWJcM0O4kyCJghJ9
2019-04-24 06:08:00+00:00,252446,1Ub9rcXUvnczprybg41gde
2019-04-24 06:09:00+00:00,13573,57silVtrWHoiTZzfic9yt3
2019-04-24 06:09:00+00:00,72168,64oFI3w4O1QGdl7rmRURZF
2019-04-24 06:12:00+00:00,169464,2oYl4K78JBe31zO7x0bAbl
